medal_date,medal_type,medal_code,name,gender,country_code,country,country_long,nationality,team,team_gender,discipline,event,event_type,url_event,birth_date,code_athlete,code_team
7/27/2024,Gold Medal,1,EVENEPOEL Remco,Male,BEL,Belgium,Belgium,Belgium,,,Cycling Road,Men's Individual Time Trial,ATH,/en/paris-2024/results/cycling-road/men-s-individual-time-trial/fnl-000100--,1/25/2000,1903136,
7/27/2024,Silver Medal,2,GANNA Filippo,Male,ITA,Italy,Italy,Italy,,,Cycling Road,Men's Individual Time Trial,ATH,/en/paris-2024/results/cycling-road/men-s-individual-time-trial/fnl-000100--,7/25/1996,1923520,
7/27/2024,Bronze Medal,3,van AERT Wout,Male,BEL,Belgium,Belgium,Belgium,,,Cycling Road,Men's Individual Time Trial,ATH,/en/paris-2024/results/cycling-road/men-s-individual-time-trial/fnl-000100--,9/15/1994,1903147,
7/27/2024,Gold Medal,1,BROWN Grace,Female,AUS,Australia,Australia,Australia,,,Cycling Road,Women's Individual Time Trial,ATH,/en/paris-2024/results/cycling-road/women-s-individual-time-trial/fnl-000100--,7/7/1992,1940173,
7/27/2024,Silver Medal,2,HENDERSON Anna,Female,GBR,Great Britain,Great Britain,Great Britain,,,Cycling Road,Women's Individual Time Trial,ATH,/en/paris-2024/results/cycling-road/women-s-individual-time-trial/fnl-000100--,11/14/1998,1912525,
7/27/2024,Bronze Medal,3,DYGERT Chloe,Female,USA,United States,United States of America,United States,,,Cycling Road,Women's Individual Time Trial,ATH,/en/paris-2024/results/cycling-road/women-s-individual-time-trial/fnl-000100--,1/1/1997,1955079,
7/27/2024,Gold Medal,1,OH Sanguk,Male,KOR,Korea,Republic of Korea,Korea,,,Fencing,Men's Sabre Individual,HATH,/en/paris-2024/results/fencing/men-s-sabre-individual/fnl-000100--,9/30/1996,1927149,
7/27/2024,Silver Medal,2,FERJANI Fares,Male,TUN,Tunisia,Tunisia,Tunisia,,,Fencing,Men's Sabre Individual,HATH,/en/paris-2024/results/fencing/men-s-sabre-individual/fnl-000100--,7/22/1997,1937783,
7/27/2024,Bronze Medal,3,SAMELE Luigi,Male,ITA,Italy,Italy,Italy,,,Fencing,Men's Sabre Individual,HATH,/en/paris-2024/results/fencing/men-s-sabre-individual/fnl-000200--,7/25/1987,1924595,
7/27/2024,Gold Medal,1,KONG Man Wai Vivian,Female,HKG,"Hong Kong, China","Hong Kong, China","Hong Kong, China",,,Fencing,Women's Épée Individual,HATH,/en/paris-2024/results/fencing/women-s-epee-individual/fnl-000100--,2/8/1994,1963262,
